title,isbn,doi
"Naval Policy and Strategy in the Mediterranean","9780203815168","10.4324/9780203815168"
"Fragments of the World: Uses of Museum Collections","9780080456416","10.4324/9780080456416"
"African Migrants and Europe","9781315755410","10.4324/9781315755410"
"Force Majeure and Frustration of Contract","9781315849089","10.4324/9781315849089"
"China's Naval Power","9781315571720","10.4324/9781315571720"
"The U.s. Navy","9780429315565","10.4324/9780429315565"
"A Global History of Ginseng","9781003286691","10.4324/9781003286691"
"Decoding Boundaries in Contemporary Japan","9780203833117","10.4324/9780203833117"
"War Crimes","9781003118664","10.4324/9781003118664"
"How China's Rise is Changing the Middle East","9780429288425","10.4324/9780429288425"
"ASEAN Business in Crisis","9780203045794","10.4324/9780203045794"
"Shipping Law","9781315884219","10.4324/9781315884219"
"Shipping Law","9780203876824","10.4324/9780203876824"
"Shipping Law","9781315172040","10.4324/9781315172040"
"Shipping Law","9781003279525","10.4324/9781003279525"
"Detox Your Writing","9781315642604","10.4324/9781315642604"
"Southeast Asia","9780429493065","10.4324/9780429493065"
"Iranian National Cinema","9780429268878","10.4324/9780429268878"
"Order and Security in Southeast Asia","9780203014813","10.4324/9780203014813"
"Global Geostrategy","9781003071365","10.4324/9781003071365"
"Coasts for People","9781315771038","10.4324/9781315771038"
"Defending An Economic Superpower","9780429033223","10.4324/9780429033223"
"A History of Modern Shanghai Banking: The Rise and Decline of China's Financial Capitalism","9781315706849","10.4324/9781315706849"
"The Strategic Options of Middle Powers in the Asia-Pacific","9781003156314","10.4324/9781003156314"
"Port-Cities and their Hinterlands","9780429202254","10.4324/9780429202254"
"The Belt and Road Initiative in Asia, Africa, and Europe","9781003156246","10.4324/9781003156246"
"The New Silk Road and the Innovation Economy in China","9781003316978","10.4324/9781003316978"
"A Pre-Modern Cultural History of Risk","9780429344404","10.4324/9780429344404"
"Future Challenges for the Port and Shipping Sector","9781315850474","10.4324/9781315850474"
"Chinese Regions in Change","9781315761602","10.4324/9781315761602"
"Law And Regulation Of Common Carriers In The Communications Industry","9780429499302","10.4324/9780429499302"
"Shipbreaking in Developing Countries","9781315745404","10.4324/9781315745404"
"Learning from Accidents","9780080510064","10.4324/9780080510064"
"Reconceptualising Unaccompanied Child Asylum Seekers and the Law","9781003260134","10.4324/9781003260134"
"Public Enterprise and the Developing World","9780429059995","10.4324/9780429059995"
"The New Pacific Community in the 1990s","9781315480572","10.4324/9781315480572"
"The Future Air Navigation System (FANS)","9780429435614","10.4324/9780429435614"
"Modern Diplomacy","9781351270090","10.4324/9781351270090"
"The Southern Silk Route","9780429277566","10.4324/9780429277566"
"Blue Space, Health and Wellbeing","9780815359159","10.4324/9780815359159"
"Raw Materials and International Control","9781315098371","10.4324/9781315098371"
"Britain at Bay","9781003188827","10.4324/9781003188827"
"Trade Unions","9781003348849","10.4324/9781003348849"
"Migration in World History","9781351256681","10.4324/9781351256681"
"China and the Senkaku/Diaoyu Islands Dispute","9781315105635","10.4324/9781315105635"
"China in the Local and Global Economy","9781315142739","10.4324/9781315142739"
"India's National Security","9780203814123","10.4324/9780203814123"
"Mobility","9781315669298","10.4324/9781315669298"
"ISR and the Gulf","9781003092612","10.4324/9781003092612"
"A Global History of Pre-Modern Warfare","9780429284069","10.4324/9780429284069"
"Mathematics at the Meridian","9781351253901","10.1201/9781351253901"
"Climatology","9780429345050","10.4324/9780429345050"
"CSR Reporting and the Belt and Road Initiative","9781003302445","10.4324/9781003302445"
"The Precautionary Principle in Marine Environmental Law","9780203765715","10.4324/9780203765715"
"International Cargo Insurance","9781315879284","10.4324/9781315879284"
"ASEAN and the Institutionalization of East Asia","9780203804650","10.4324/9780203804650"
"Political Geography","9780203647141","10.4324/9780203647141"
"Communications Satellites","9781410611116","10.4324/9781410611116"
"The ISM Code: A Practical Guide to the Legal and Insurance Implications","9781315720227","10.4324/9781315720227"
"Law of Marine Insurance","9781843140498","10.4324/9781843140498"
"Innovation, Investment and Intellectual Property in South Korea","9781315409269","10.4324/9781315409269"
"Migration in World History","9780203100707","10.4324/9780203100707"
"Relations Between East and West in the Middle Ages","9781315128320","10.4324/9781315128320"
"Navies in Multipolar Worlds","9780367855406","10.4324/9780367855406"
"Tailspin","9781003231660","10.4324/9781003231660"
"The Politics of South China Sea Disputes","9781003026334","10.4324/9781003026334"
"A Forgotten Offensive","9781315036182","10.4324/9781315036182"
"Between Compliance and Conflict","9780203956403","10.4324/9780203956403"
"Radar Detection Theory of Sliding Window Processes","9781315154015","10.1201/9781315154015"
"Freeports and Free Zones","9781003232025","10.4324/9781003232025"
"Introduction to International Relations, An","9781315504179","10.4324/9781315504179"
"Principles of the Carriage of Goods by Sea","9781315813493","10.4324/9781315813493"
"Museums, International Exhibitions and China's Cultural Diplomacy","9781003104513","10.4324/9781003104513"
"Islands and International Politics in the Persian Gulf","9780203928714","10.4324/9780203928714"
"The Army and Ideology in Indonesia","9781003092926","10.4324/9781003092926"
"The Territories of the Russian Federation 2022","9781003280965","10.4324/9781003280965"
"Chinese Politics and Foreign Policy under Xi Jinping","9781003041481","10.4324/9781003041481"
"Marine Design XIII","9781351010047","10.1201/9781351010047"
"International Secretariats","9780429351952","10.4324/9780429351952"
"North Eurasian Trade in World History, 1660–1860","9781003137047","10.4324/9781003137047"
"The Shakespearean International Yearbook","9781351019705","10.4324/9781351019705"
"Security and International Politics in the South China Sea","9780203885246","10.4324/9780203885246"
"Chinese Foreign Policy","9780203074565","10.4324/9780203074565"
"The Belt and Road Initiative","9780429447228","10.4324/9780429447228"
"Marine Insurance","9781315874357","10.4324/9781315874357"
"Bermuda","9781351192712","10.4324/9781351192712"
"Reappraising State-Owned Enterprise","9780203818749","10.4324/9780203818749"
"Geotechnical Problems and Solutions","9781351037341","10.1201/9781351037341"
"Financing China’s Belt and Road Initiative","9781003185000","10.4324/9781003185000"
"The Portuguese and the Socio-Cultural Changes in Kerala","9781003052265","10.4324/9781003052265"
"Byzantium and the Other: Relations and Exchanges","9781351219747","10.4324/9781351219747"
"US–China Foreign Relations","9781003056683","10.4324/9781003056683"
"Music and Sound in Documentary Film","9781315851556","10.4324/9781315851556"
"Hegemony with Chinese Characteristics","9781003161004","10.4324/9781003161004"
"Commencement of Laytime","9780203714973","10.4324/9780203714973"
"The Impact of Soviet Shipping","9781003390145","10.4324/9781003390145"
"Regional Disorder","9781351224062","10.4324/9781351224062"
"Chinese Foreign Policy","9780203881217","10.4324/9780203881217"
"Bareboat Charters","9781003098003","10.4324/9781003098003"
"Shipbuilding in the United Kingdom","9781003138686","10.4324/9781003138686"
"Industrial Heritage Sites in Transformation","9781315797991","10.4324/9781315797991"
"The Rural and Peripheral in Regional Development","9781315211183","10.4324/9781315211183"
"Creative Research in Music","9780429278426","10.4324/9780429278426"
"Internationalization of the RMB","9781315108827","10.4324/9781315108827"
"The Violence of Neoliberalism","9780429505768","10.4324/9780429505768"
"Performing Arctic Sovereignty","9780203701485","10.4324/9780203701485"
"Small States and Hegemonic Competition in Southeast Asia","9781315562599","10.4324/9781315562599"
"Security Interests in Mobile Equipment","9781315184562","10.4324/9781315184562"
"Global Environmental Institutions","9780203969342","10.4324/9780203969342"
"Critical Themes in World Music","9780429424717","10.4324/9780429424717"
"Creative Involvement","9781351268769","10.4324/9781351268769"
"How China's Silk Road Initiative is Changing the Global Economic Landscape","9780429455193","10.4324/9780429455193"
"Narratives of Vulnerability in Museums","9780429468698","10.4324/9780429468698"
"Port Economics","9781315667720","10.4324/9781315667720"
"A History of American Economic Thought","9781315174365","10.4324/9781315174365"
"Oil Pollution Control","9780429345937","10.4324/9780429345937"
"Africa’s Railway Renaissance","9781003208594","10.4324/9781003208594"
"Biomass Burning in South and Southeast Asia","9780429022036","10.1201/9780429022036"
"The Making of the Modern Chinese State","9780429432071","10.4324/9780429432071"
"Chinese Foreign Policy","9781315677224","10.4324/9781315677224"
"Cases and Materials on the Carriage of Goods by Sea","9781315749754","10.4324/9781315749754"
"Major Law and Policy Issues in the South China Sea","9781315593210","10.4324/9781315593210"
"Sir Claude MacDonald, the Open Door, and British Informal Empire in China, 1895-1900","9781351120227","10.4324/9781351120227"
"Chinese Foreign Policy","9780429437908","10.4324/9780429437908"
"Port Security Management","9780429254840","10.1201/b17142"
"Excursions in World Music, Seventh Edition","9781315619378","10.4324/9781315619378"
"China’s New Global Strategy","9780429317002","10.4324/9780429317002"
"Freedoms of Navigation in the Asia-Pacific Region","9780429199585","10.4324/9780429199585"
"International Trade Law Statutes and Conventions 2013-2015","9781315859033","10.4324/9781315859033"
"The Durham Papers","9780429054730","10.4324/9780429054730"
"Regions in the Belt and Road Initiative","9780429202346","10.4324/9780429202346"
"The Chinese Dream: Educating the Future","9780429329135","10.4324/9780429329135"
"The Chinese Shadow on India’s Eastward Engagement","9781003165064","10.4324/9781003165064"
"NATO and the North Atlantic","9781351025027","10.4324/9781351025027"
"Comparative Regional Protection Frameworks for Refugees","9781315205656","10.4324/9781315205656"
"Italian Merchants in the Early-Modern Spanish Monarchy","9781315196206","10.4324/9781315196206"
"International Trade Law","9781315543970","10.4324/9781315543970"
"Chinese Insurance Contracts","9781315813783","10.4324/9781315813783"
"Cultural Studies","9780203988374","10.4324/9780203988374"
"Ethical and Responsible Tourism","9781003358688","10.4324/9781003358688"
"Global Governance and India’s North-East","9780429286148","10.4324/9780429286148"
"Britain and China, 1840-1970","9781315687735","10.4324/9781315687735"
"Property, Place and Piracy","9781315180731","10.4324/9781315180731"
"China's Relations with the Gulf Monarchies","9781315142678","10.4324/9781315142678"
"The Enigma of Soviet Petroleum","9781003390640","10.4324/9781003390640"
"The Giant Squid in Transatlantic Culture","9781003311775","10.4324/9781003311775"
"The Indian Ocean Trade in Antiquity","9781315184876","10.4324/9781315184876"
"European Expansion and Representations of Indigenous and African Peoples","9781351106733","10.4324/9781351106733"
"Cases and Materials on the Carriage of Goods by Sea","9780429059742","10.4324/9780429059742"
"Shakespeare’s Asian Journeys","9781315442969","10.4324/9781315442969"
"A History of Design Institutes in China","9780203709917","10.4324/9780203709917"
"The Expert in Litigation and Arbitration","9781003123217","10.4324/9781003123217"
"Art, Mobility, and Exchange in Early Modern Tuscany and Eurasia","9781003030690","10.4324/9781003030690"
"Historical Perspectives on Organized Crime and Terrorism","9781315624099","10.4324/9781315624099"
"Business and Economics of Port Management","9780429439926","10.4324/9780429439926"
"The Impact of Marine Pollution","9780429342547","10.4324/9780429342547"
"Re-globalisation","9781003126935","10.4324/9781003126935"
"War, Peace and International Order?","9781315447803","10.4324/9781315447803"
"China's Strategic Priorities","9781315886909","10.4324/9781315886909"
"Museums and Higher Education Working Together","9781315596471","10.4324/9781315596471"
"Australia on the World Stage","9781003221197","10.4324/9781003221197"
"China Inward and Outward Investment Development Report 2016","9780429201585","10.4324/9780429201585"
"China Engages Global Governance","9780203698334","10.4324/9780203698334"
"International Trade Law","9781315870861","10.4324/9781315870861"
"Branch's Elements of Shipping","9781315767154","10.4324/9781315767154"
"Emerging Legal Orders in the Arctic","9780429461170","10.4324/9780429461170"
"Imperial Powers and Humanitarian Interventions","9780429323232","10.4324/9780429323232"
"International Organizations","9781315251974","10.4324/9781315251974"
"The Routledge History of Emotions in Europe","9781315190778","10.4324/9781315190778"
"Agincourt in Context","9781351022866","10.4324/9781351022866"
"International Trade Law","9780203872543","10.4324/9780203872543"
"Responsibilities and Liabilities for Commercial Activity in the Arctic","9781315661674","10.4324/9781315661674"
"Regulating Coastal Zones","9780429432699","10.4324/9780429432699"
"China's Innovation Economy","9781003211907","10.4324/9781003211907"
"Extractive Industries and Changing State Dynamics in Africa","9781351200639","10.4324/9781351200639"
"University Spatial Development and Urban Transformation in China","9781315312651","10.4324/9781315312651"
"The Routledge Handbook of Reenactment Studies","9780429445637","10.4324/9780429445637"
"The Medieval Frontiers of Latin Christendom","9781315238340","10.4324/9781315238340"
"Marine Cargo Insurance","9781315876740","10.4324/9781315876740"
"Recent Developments in the South China Sea Dispute","9781315818696","10.4324/9781315818696"
"Against International Relations Norms","9781315665955","10.4324/9781315665955"
"Geo-economics and Power Politics in the 21st Century","9781351172288","10.4324/9781351172288"
"A History of Architecture and Trade","9781315206363","10.4324/9781315206363"
"Naval Powers in the Indian Ocean and the Western Pacific","9780203730874","10.4324/9780203730874"
"Sea Log","9781315109923","10.4324/9781315109923"
"Marine Cargo Insurance","9781315758794","10.4324/9781315758794"
"The EU, Strategy and Security Policy","9781315707846","10.4324/9781315707846"
"Freedom of Navigation and the Law of the Sea","9780429425745","10.4324/9780429425745"
"International Trade Law Statutes and Conventions 2016-2018","9781315543987","10.4324/9781315543987"
"China and South Asia","9780367855413","10.4324/9780367855413"
"The Success of Small States in International Relations","9781003314745","10.4324/9781003314745"
"Economic Analysis of Tort Law","9780429327858","10.4324/9780429327858"
"Transnational Regions in Historical Perspective","9781315617404","10.4324/9781315617404"
"World Heritage","9781003044857","10.4324/9781003044857"
"Sustainable Building Design","9781315736266","10.4324/9781315736266"
"Examining US-China-Russia Foreign Relations","9780367250737","10.4324/9780367250737"
"Heritage Sites in Contemporary China","9781315166520","10.4324/9781315166520"
"The Routledge Research Companion to Security Outsourcing","9781315613376","10.4324/9781315613376"
"Governance of Arctic Offshore Oil and Gas","9781315585475","10.4324/9781315585475"
"China's One Belt One Road Initiative and Private International Law","9781315121963","10.4324/9781315121963"
"Cargomobilities","9781315866673","10.4324/9781315866673"
"China's Contingencies and Globalization","9781315232225","10.4324/9781315232225"
"Law of Yachts & Yachting","9781315878133","10.4324/9781315878133"
"Ship Building, Sale and Finance","9781315689647","10.4324/9781315689647"
"The Law of Yachts & Yachting","9781315456416","10.4324/9781315456416"
"Routledge Handbook of Politics in Asia","9781315627670","10.4324/9781315627670"
"Simulators for Transportation Human Factors","9781315609126","10.1201/9781315609126"
"China's Global Political Economy","9781315102566","10.4324/9781315102566"
"The Atlantic in Global History","9781315108995","10.4324/9781315108995"
"Transport Law on Passenger Rights","9781003182504","10.4324/9781003182504"
"Routledge Handbook of the South Asian Diaspora","9780203796528","10.4324/9780203796528"
"International Trade Law Statutes and Conventions 2019-2021","9781003125716","10.4324/9781003125716"
"The Routledge Handbook of Asian Security Studies","9780203865101","10.4324/9780203865101"
"Regional Connection under the Belt and Road Initiative","9780429467172","10.4324/9780429467172"
"Routledge Handbook of Transport in Asia","9781315739618","10.4324/9781315739618"
"Water Histories of South Asia","9780429242694","10.4324/9780429242694"
"Technology of the Ancient Near East","9781351188111","10.4324/9781351188111"
"East and South-East Asia","9780203146026","10.4324/9780203146026"
"Economic Integration and Regional Development","9781315534053","10.4324/9781315534053"
"Sustainable Development and Innovations in Marine Technologies","9780367810085","10.1201/9780367810085"
"Offshore Energy and Marine Spatial Planning","9781315666877","10.4324/9781315666877"
"Ecophysiology of Vascular Halophytes","9781003418269","10.1201/9781003418269"
"Religious Dissent in the Roman Empire","9781315750798","10.4324/9781315750798"
"Through the Pillars of Herakles","9780203962473","10.4324/9780203962473"
"Marine Navigation","9781315099132","10.1201/9781315099132"
"Urban Studies: Border and Mobility","9780429507410","10.1201/9780429507410"
"International Organizations and the Law","9781351240147","10.4324/9781351240147"
"Port Cities in Asia and Europe","9780203884515","10.4324/9780203884515"
"Thermophiles","9780429181955","10.1201/9781482273045"
"Thermophiles","9780429118418","10.1201/9781420008852"
"Cretomania","9781315095332","10.4324/9781315095332"
"Corporate Policing, Yellow Unionism, and Strikebreaking, 1890-1930","9780429354243","10.4324/9780429354243"
"Marine Design XIII, Volume 2","9780429440519","10.1201/9780429440519"
"Safety of Sea Transportation","9781315099088","10.1201/9781315099088"
"Metals in the Environment","9780429082818","10.1201/9781482294583"
"Site-Specific Art","9780203138298","10.4324/9780203138298"
"Becoming Roman?","9781315433219","10.4324/9781315433219"
"Three Ancient Geographical Treatises in Translation","9781003030379","10.4324/9781003030379"
"Marine Design XIII, Volume 1","9780429440533","10.1201/9780429440533"
"The Byzantine Neighbourhood","9780429427770","10.4324/9780429427770"
"Foundations of High Performance Polymers","9780429171468","10.1201/b15485"
"The City in Late Antiquity","9780203130162","10.4324/9780203130162"
"The Roman Remains of Southern France","9780203713488","10.4324/9780203713488"
"Thermophilic Bacteria","9781003068334","10.1201/9781003068334"
"Drawing the Line","9781351159562","10.4324/9781351159562"
"The Geography of Border Landscapes","9781315746593","10.4324/9781315746593"
"Seagrasses","9780429128035","10.1201/9781420074475"
"Herod","9781315163352","10.4324/9781315163352"
"British Mail Steamers to South America, 1851-1965","9781315570167","10.4324/9781315570167"
"Banking in China (1890s–1940s)","9781003030263","10.4324/9781003030263"
"French Banking and Entrepreneurialism in China and Hong Kong","9780429265075","10.4324/9780429265075"
"Learning Cities in Late Antiquity","9781315097848","10.4324/9781315097848"
"Modelling and Forecasting in Dry Bulk Shipping","9781315780146","10.4324/9781315780146"
"Agrippa II","9780429447068","10.4324/9780429447068"
